item_id,domain,trait,trait_key,framework,source,license,response_scale,keyed,key,reverse_score,text
EST-10,Resilience,Emotional Stability,emotional_stability,"Five-Factor Model (Big Five, reverse of Neuroticism)",IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,My mood changes frequently.
OPN-01,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I have a vivid imagination.
OPN-02,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,"I come up with good, original ideas."
OPN-03,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,"I enjoy thinking about complex, abstract problems."
OPN-04,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am full of new ideas.
OPN-05,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I seek out new experiences and perspectives.
OPN-06,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I am not interested in abstract ideas.
OPN-07,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I do not have a good imagination.
OPN-08,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I have difficulty understanding abstract concepts.
OPN-09,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I avoid difficult or challenging material.
OPN-10,Adaptability,Openness to Experience,openness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I prefer familiar routines to new experiences.
AGR-01,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I sympathize with others' feelings.
AGR-02,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I take time out for other people.
AGR-03,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I sense and respond to others' emotions.
AGR-04,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I make people feel at ease.
AGR-05,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am genuinely interested in other people.
AGR-06,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I am not really interested in others.
AGR-07,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I sometimes insult people.
AGR-08,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I am not interested in other people's problems.
AGR-09,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I feel little concern for others.
AGR-10,Cooperation,Agreeableness,agreeableness,Five-Factor Model (Big Five),IPIP-NEO / Goldberg markers,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I can have a sharp tongue with people.
HON-01,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,"I wouldn't use flattery to get a raise or promotion, even if I thought it would work."
HON-02,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,"If I knew I could never get caught, I would still refuse to steal a large sum of money."
HON-03,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,Having a lot of money is not especially important to me.
HON-04,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am an ordinary person who is no better than others.
HON-05,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I wouldn't pretend to like someone just to get favors from them.
HON-06,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,"If I were sure I could get away with it, I would be willing to bend the rules for personal gain."
HON-07,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I want people to know that I am an important person of high status.
HON-08,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I think I am entitled to more respect than the average person.
HON-09,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,"I would like to live in a very expensive, high-status neighborhood."
HON-10,Integrity,Honesty-Humility,honesty_humility,HEXACO,"IPIP-HEXACO (Ashton, Lee & Goldberg, 2007)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I would be tempted to take a shortcut that benefited me at someone else's expense.
MAC-01,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I find it useful to manage situations behind the scenes to get what I want.
MAC-02,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,It is wise to keep track of information you might use later.
MAC-03,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I am willing to use flattery to get my way.
MAC-04,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I prefer to influence people indirectly rather than confront them.
MAC-05,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,People who are completely open about their intentions put themselves at a disadvantage.
MAC-06,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I prefer to be straightforward and transparent in my dealings.
MAC-07,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I believe most people can be trusted to act in good faith.
MAC-08,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,Manipulating others to reach a goal feels wrong to me.
MAC-09,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I rarely think about the hidden motives behind what people say.
MAC-10,Malevolence,Machiavellianism,machiavellianism,Dark Triad,IPIP-style original (maps to manipulation / low Honesty-Humility),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I would rather give up an advantage than mislead someone.
NAR-01,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I deserve special recognition for my contributions.
NAR-02,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I am more capable than most of the people around me.
NAR-03,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I enjoy being the center of attention.
NAR-04,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,People should acknowledge how talented I am.
NAR-05,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I expect a great deal from the people I work with.
NAR-06,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I am no more deserving of praise than my colleagues.
NAR-07,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I am uncomfortable when people single me out for attention.
NAR-08,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I think of myself as an ordinary member of the team.
NAR-09,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I rarely feel that I am better than others.
NAR-10,Ego,Narcissism,narcissism,Dark Triad,IPIP-style original (maps to grandiosity; NPI is copyrighted),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I am happy to let other people take the credit.
PSY-01,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I am not very concerned about how my actions affect other people.
PSY-02,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I tend to act on impulse without weighing the consequences.
PSY-03,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,I rarely feel guilty after upsetting someone.
PSY-04,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,Other people's distress does not affect me much.
PSY-05,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),positive,1,False,Rules are made to be broken when they get in my way.
PSY-06,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I feel genuine remorse when I let people down.
PSY-07,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I am very sensitive to other people's suffering.
PSY-08,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I think carefully before I act.
PSY-09,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I would feel bad for a long time if I hurt someone.
PSY-10,Callousness,Psychopathy,psychopathy,Dark Triad,IPIP-style original (maps to callous affect / impulsivity),Original - license-free for project owner,Likert-5 (1-5),reverse,-1,True,I try hard to follow the rules even when no one is watching.
LOC-01,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),positive,1,False,"On most jobs, people can pretty much accomplish whatever they set out to accomplish."
LOC-02,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),positive,1,False,"If you know what you want from a job, you can find a job that gives it to you."
LOC-03,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),positive,1,False,Promotions are generally given to employees who perform well.
LOC-04,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),positive,1,False,People who perform their jobs well usually get rewarded.
LOC-05,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),positive,1,False,My own effort is the main thing that determines my success at work.
LOC-06,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),reverse,-1,True,Getting the job you want is mostly a matter of luck.
LOC-07,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),reverse,-1,True,Making money at work is primarily a matter of good fortune.
LOC-08,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),reverse,-1,True,Promotions are usually a matter of being lucky.
LOC-09,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),reverse,-1,True,Who you know matters more than how well you do your work.
LOC-10,Accountability,Locus of Control (Internal),locus_of_control,Core Self-Evaluations / Locus of Control,WLCS-style (Spector) / IE-4,Free with citation / CC-BY (IE-4),Likert-5 (1-5),reverse,-1,True,It takes a lot of luck to be an outstanding employee.
GRT-01,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I finish whatever I begin.
GRT-02,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am a hard worker.
GRT-03,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am diligent and persistent.
GRT-04,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,Setbacks don't discourage me; I bounce back and keep going.
GRT-05,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I carry my plans through to completion.
GRT-06,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I have a hard time finishing tasks that take a long time.
GRT-07,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I give up easily when things get difficult.
GRT-08,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I often lose focus before completing a project.
GRT-09,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,Obstacles tend to discourage me.
GRT-10,Stamina,Grit (Perseverance of Effort),grit,Grit - perseverance facet only,IPIP Industriousness & Self-Discipline,Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I abandon goals that turn out to be harder than expected.
EQ-01,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I am good at reading other people's emotions.
EQ-02,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I understand why my own emotions change.
EQ-03,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I can stay composed and manage my feelings in tense situations.
EQ-04,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I notice how others are feeling before they say anything.
EQ-05,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I can usually help calm someone who is upset.
EQ-06,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I find it hard to tell what others are feeling.
EQ-07,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I am often confused about which emotion I am feeling.
EQ-08,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I lose control of my emotions when I am stressed.
EQ-09,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I rarely notice the emotional reactions of people around me.
EQ-10,Self-Regulation,Emotional Intelligence (Trait),emotional_intelligence,Trait Emotional Intelligence,"IPIP-EI (Barchard, 2001)",Public Domain (IPIP),Likert-5 (1-5),reverse,-1,True,I struggle to help others manage their feelings.
AMB-01,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),positive,1,False,I am comfortable making decisions with incomplete information.
AMB-02,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),positive,1,False,I enjoy situations where there is no clear right answer.
AMB-03,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),positive,1,False,I can work effectively even when goals are unclear.
AMB-04,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),positive,1,False,I adapt easily when plans change unexpectedly.
AMB-05,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),positive,1,False,I find uncertainty interesting rather than threatening.
AMB-06,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),reverse,-1,True,I feel uneasy when a situation is unpredictable.
AMB-07,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),reverse,-1,True,"I strongly prefer tasks with clear, detailed instructions."
AMB-08,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),reverse,-1,True,I get frustrated when a problem has no definite solution.
AMB-09,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),reverse,-1,True,I dislike starting work before everything is clearly defined.
AMB-10,Agility,Tolerance for Ambiguity,ambiguity_tolerance,Tolerance for Ambiguity,IPIP Openness facets + IPIP-style original,Public Domain (IPIP) / Original,Likert-5 (1-5),reverse,-1,True,I need certainty before I can move forward.
NACH-01,Motivation,Need for Achievement,need_for_achievement,Need for Achievement (McClelland),IPIP NEO Achievement-Striving (C4),Public Domain (IPIP),Likert-5 (1-5),positive,1,False,I set high standards for myself and for others.
